green_roof_area,building_area,ratio_green_area,construction_year,roof_height,ground_elev,digitized,borough,xcoord,ycoord,area_type
3071,28794,0.11,1990,340,25,0,MN,-73.98939,40.77562,industrial
743,6622,0.11,1990,66,132,0,BX,-73.92047,40.84742,residential
12907,104089,0.12,1990,185,22,0,QN,-73.83515,40.75746,residential
1650,25382,0.07,1960,370,52,0,MN,-73.98302,40.75801,commercial
267,1224,0.22,1900,60,76,0,MN,-73.9797,40.77851,commercial
1481,9729,0.15,1990,248,6,0,MN,-74.00755,40.74623,residential
1295,7458,0.17,1900,81,27,0,MN,-74.008,40.71522,commercial
424,5686,0.07,1900,80,15,1,MN,-74.00913,40.71809,commercial
776,12035,0.06,1900,227,49,0,MN,-73.98878,40.75462,commercial
392,4874,0.08,1900,74,12,0,MN,-74.00735,40.72215,industrial
2910,7036,0.41,1960,96,58,1,BK,-73.96427,40.69137,commercial
2290,10512,0.22,1900,17,134,0,MN,-73.96298,40.80977,residential
160,1588,0.1,1990,18,34,0,BK,-73.99038,40.68849,residential
6713,10654,0.63,1960,19,16,1,QN,-73.94495,40.75218,residential
2785,4116,0.68,1930,52,69,1,BX,-73.89513,40.83194,industrial
159,19697,0.01,1900,83,35,0,MN,-73.99382,40.74075,residential
16067,32603,0.49,1960,115,165,0,BX,-73.90883,40.89635,commercial
6672,78619,0.08,1990,393,6,0,QN,-73.95598,40.7478,residential
2694,7355,0.37,1990,58,102,0,BX,-73.9041,40.87091,industrial
178,1651,0.11,1850,55,80,0,BK,-73.99612,40.69751,residential
1430,4580,0.31,1930,11,70,0,BK,-73.9346,40.67645,nan
826,5084,0.16,1930,14,111,0,BK,-73.96479,40.67741,residential
3893,26073,0.15,1990,353,40,1,MN,-73.98979,40.75867,residential
193,1012,0.19,1900,36,21,0,MN,-74.00115,40.73462,residential
216,1634,0.13,1990,40,39,1,BK,-73.99739,40.68448,commercial
662,2202,0.3,1850,63,60,0,MN,-73.95767,40.77514,residential
5832,26766,0.22,1990,90,21,1,QN,-73.94717,40.75105,residential
2575,5853,0.44,1900,17,14,0,QN,-73.80766,40.66092,residential
249,11516,0.02,1900,98,137,0,MN,-73.96146,40.80661,industrial
615,19212,0.03,1900,251,17,0,MN,-74.00505,40.7273,industrial
1016,31241,0.03,1930,41,32,1,BK,-73.99146,40.68005,residential
34,738,0.05,1990,57,15,1,BK,-73.95397,40.71424,industrial
487,5464,0.09,1990,51,44,0,BX,-73.89267,40.83147,residential
1426,14642,0.1,1960,422,59,0,MN,-73.96581,40.76221,residential
606,31661,0.02,1900,597,36,0,MN,-73.98936,40.75634,residential
13282,87601,0.15,1960,117,14,0,QN,-73.82138,40.58584,commercial
242,11049,0.02,1900,157,39,1,MN,-74.00651,40.71163,commercial
261,1435,0.18,1900,49,136,0,BK,-73.97368,40.66961,residential
1286,28866,0.04,1960,446,75,0,MN,-73.98267,40.76588,commercial
358,2020,0.18,1930,67,71,0,MN,-73.96587,40.77175,residential
14651,34539,0.42,1990,191,85,0,MN,-73.96601,40.7943,commercial
811,6426,0.13,1990,65,94,0,MN,-73.9626,40.79601,commercial
10032,112685,0.09,1960,35,12,1,BX,-73.88361,40.824,residential
15430,32302,0.48,1990,35,16,1,BK,-73.96064,40.72192,residential
49895,83074,0.6,1990,129,12,1,MN,-74.01023,40.72684,industrial
1142,27699,0.04,1990,263,8,0,QN,-73.9568,40.74715,industrial
377,6453,0.06,1930,131,27,0,QN,-73.94027,40.75197,industrial
1383,27751,0.05,1930,206,26,0,MN,-73.99726,40.73181,industrial
2555,22728,0.11,1900,146,43,0,MN,-73.99524,40.7248,industrial
686,7546,0.09,1930,108,10,0,MN,-74.01024,40.72271,residential
3025,3646,0.83,1930,20,33,0,BK,-73.958,40.71867,commercial
670,11096,0.06,1900,157,31,0,MN,-74.00505,40.71669,commercial
692,9616,0.07,1990,144,23,0,MN,-74.0024,40.73911,residential
1277,11563,0.11,1990,90,9,0,MN,-73.98197,40.73043,commercial
133,1121,0.12,1850,39,25,0,MN,-73.9971,40.73477,commercial
719,18421,0.04,1930,76,19,1,QN,-73.94397,40.75094,commercial
386,4151,0.09,1900,73,21,1,MN,-74.00675,40.73455,residential
1864,36070,0.05,1960,214,28,0,MN,-73.96019,40.81667,industrial
966,2438,0.4,1990,68,4,0,MN,-73.9383,40.80207,residential
27,1371,0.02,1900,69,68,1,MN,-73.97859,40.749,residential
395,2552,0.15,1900,65,65,0,MN,-73.98613,40.76573,residential
266,1449,0.18,1900,33,51,0,BK,-73.97315,40.64457,residential
489,6389,0.08,1960,378,10,0,MN,-73.94986,40.76804,residential
1491,3404,0.44,1900,85,14,1,MN,-74.00847,40.71828,residential
2747,21703,0.13,1900,223,10,0,MN,-74.00741,40.72474,residential
554,20184,0.03,1990,627,8,0,BK,-73.98587,40.69161,commercial
543,3542,0.15,1990,51,50,0,BK,-73.99172,40.70064,industrial
2189,19801,0.11,1960,318,139,0,MN,-73.94306,40.84478,commercial
974,7258,0.13,1900,30,45,0,MN,-73.99572,40.75278,residential
12724,39351,0.32,1960,192,15,1,MN,-74.01088,40.71437,residential
946,20292,0.05,1900,48,147,0,BX,-73.92539,40.8412,commercial
3998,23096,0.17,1990,355,12,1,MN,-74.016,40.71569,commercial
854,18755,0.05,1930,36,165,1,BK,-74.00211,40.64692,residential
5096,18658,0.27,1990,256,18,1,MN,-74.01504,40.7168,residential
1377,14706,0.09,1900,77,53,0,MN,-73.95779,40.76703,public
959,1862,0.51,1930,59,21,0,BX,-73.91467,40.82391,residential
11895,100651,0.12,1930,46,18,1,QN,-73.94453,40.75095,residential
767,26061,0.03,1990,147,28,0,MN,-73.99692,40.7418,commercial
2623,17538,0.15,1900,86,16,0,MN,-74.00483,40.7401,industrial
786,11517,0.07,1960,58,18,0,MN,-73.98244,40.72374,commercial
574,721,0.8,1900,17,8,0,BK,-73.86704,40.66269,commercial
6141,58522,0.1,1960,291,29,0,MN,-73.98009,40.74458,residential
181,944,0.19,1900,50,22,0,MN,-73.99771,40.73381,residential
7239,12510,0.58,1930,25,64,1,BX,-73.89054,40.81822,residential
1645,7745,0.21,1900,74,7,0,MN,-74.00733,40.74151,residential
28669,94646,0.3,1990,216,51,0,MN,-73.98944,40.77076,industrial
1659,38129,0.04,1990,425,23,0,MN,-73.94763,40.78512,industrial
5037,25084,0.2,1930,53,80,0,BK,-74.03327,40.62456,commercial
235,3925,0.06,1990,138,9,0,MN,-74.01012,40.72161,residential
122,6721,0.02,1900,82,9,0,MN,-74.0054,40.75005,residential
298,7962,0.04,1900,60,132,0,BX,-73.91987,40.84772,commercial
6283,43037,0.15,1900,83,71,0,BX,-73.91233,40.83191,industrial
406,27718,0.01,1960,67,6,0,BK,-73.98996,40.57222,residential
1610,2086,0.77,1900,61,122,0,MN,-73.96531,40.80677,residential
80,3588,0.02,1900,89,28,0,MN,-73.9962,40.73487,residential
135,1526,0.09,1990,59,74,0,MN,-73.97662,40.78481,residential
700,7220,0.1,1900,153,22,0,MN,-73.99995,40.72125,residential
1183,18742,0.06,1990,248,73,0,MN,-73.98044,40.78127,commercial
154,851,0.18,1990,40,31,0,BK,-73.87404,40.67619,industrial
28,629,0.05,1900,41,34,1,MN,-73.98845,40.72358,commercial
788,60505,0.01,1930,480,69,0,MN,-73.97693,40.76028,residential
206,919,0.22,1900,46,87,0,MN,-73.95188,40.78558,residential
5126,85062,0.06,1990,887,60,1,MN,-73.98505,40.75573,commercial
3128,32345,0.1,1930,183,29,1,MN,-73.99549,40.73232,residential
135,1707,0.08,1990,59,75,0,MN,-73.97658,40.78476,commercial
333,725,0.46,1850,50,26,0,MN,-74.00356,40.73672,residential
570,7784,0.07,1960,153,14,0,MN,-74.0044,40.74083,commercial
4487,42864,0.1,1990,350,8,0,QN,-73.9591,40.74323,commercial
1565,8133,0.19,1900,78,85,0,BX,-73.91208,40.83233,residential
8020,79527,0.1,1960,35,12,0,BK,-73.93676,40.57773,commercial
223,1370,0.16,1990,56,32,0,BK,-73.94055,40.71416,residential
484,8514,0.06,1990,75,8,0,MN,-74.00735,40.74673,residential
1177,9176,0.13,1990,140,42,0,MN,-73.99313,40.72639,residential
847,1702,0.5,1930,60,20,0,BX,-73.9146,40.82388,residential
618,10322,0.06,1990,26,13,0,MN,-74.00733,40.74066,industrial
1091,1886,0.58,1900,59,44,1,BX,-73.89658,40.85521,industrial
980,11857,0.08,1990,303,52,0,MN,-73.98443,40.76018,commercial
12761,21272,0.6,1900,86,97,1,MN,-73.95882,40.77955,industrial
1930,13288,0.15,1930,431,62,0,MN,-73.97472,40.75965,commercial
4463,10358,0.43,1900,151,68,0,MN,-73.97786,40.78739,commercial
1942,36452,0.05,1990,78,38,0,QN,-73.9251,40.75609,residential
773,46783,0.02,1930,272,60,0,MN,-73.98025,40.7589,commercial
124,1355,0.09,1900,69,8,0,MN,-74.0028,40.74694,commercial
1320,17176,0.08,1900,44,61,0,BX,-73.90306,40.81917,industrial
201,1172,0.17,1850,44,117,0,BK,-73.96851,40.67635,commercial
4853,8049,0.6,1900,80,118,0,MN,-73.96602,40.80581,residential
807,6485,0.12,1900,150,41,0,MN,-73.9942,40.72773,residential
148,17285,0.01,1850,91,34,0,MN,-73.99501,40.73805,residential
71,781,0.09,1850,36,109,1,BK,-73.98532,40.66546,residential
4829,15442,0.31,1990,169,89,0,MN,-73.96649,40.79382,industrial
1480,17896,0.08,1900,224,27,0,MN,-73.99602,40.73312,commercial
328,4954,0.07,1990,229,36,0,MN,-73.99324,40.75428,residential
8971,140402,0.06,1930,60,2,1,SI,-74.07381,40.64427,residential
6280,37743,0.17,1990,301,9,0,QN,-73.95816,40.74385,residential
11006,100293,0.11,1960,28,7,0,MN,-73.97324,40.73741,commercial
5209,18377,0.28,1990,355,12,1,MN,-74.01482,40.71592,industrial
1299,35050,0.04,1930,306,17,0,MN,-73.99695,40.76226,industrial
770,2064,0.37,1900,63,77,0,MN,-73.96425,40.76937,commercial
1302,20492,0.06,1960,239,7,0,QN,-73.75148,40.59423,residential
1336,32520,0.04,1990,595,103,0,BK,-73.98506,40.69158,commercial
191,716,0.27,1850,36,29,0,MN,-74.00333,40.73594,residential
925,16156,0.06,1990,230,15,0,MN,-73.97939,40.73691,residential
721,10629,0.07,1990,114,7,0,MN,-74.0035,40.72164,commercial
3637,139709,0.03,1960,258,56,0,BK,-74.02255,40.63814,residential
7864,30244,0.26,1990,208,37,0,MN,-73.9935,40.73544,commercial
5957,47591,0.13,1960,239,7,0,QN,-73.7522,40.59428,industrial
4853,35647,0.14,1930,476,71,0,MN,-73.97917,40.75124,residential
292,5871,0.05,1900,122,80,0,MN,-73.9801,40.77445,commercial
1456,12207,0.12,1960,239,7,0,QN,-73.7521,40.59391,residential
6402,11684,0.55,1930,50,167,1,BX,-73.90539,40.88926,commercial
174,1688,0.1,1930,58,60,0,MN,-73.96359,40.77334,residential
231,7714,0.03,1990,143,24,0,MN,-73.99546,40.74255,residential
10113,28015,0.36,1990,226,8,1,MN,-74.0111,40.71377,residential
914,21675,0.04,1960,241,7,0,QN,-73.75292,40.59421,residential
79,550,0.14,1900,35,60,1,QN,-73.91665,40.74748,commercial
2569,29251,0.09,1960,548,63,1,MN,-73.98394,40.75607,commercial
2960,8272,0.36,1960,151,37,1,MN,-73.98716,40.73285,residential
501,17912,0.03,1990,60,82,0,BX,-73.92801,40.83798,residential
773,22348,0.03,1930,30,42,0,BK,-73.95362,40.69056,commercial
3389,58969,0.06,1930,219,63,0,MN,-73.97956,40.75826,commercial
475,885,0.54,1850,43,77,0,BK,-73.97545,40.67718,residential
3321,155406,0.02,1960,646,12,0,MN,-74.01587,40.71269,residential
4440,6399,0.69,1930,25,61,0,MN,-73.97211,40.79544,commercial
2560,9830,0.26,1990,129,17,0,MN,-73.98178,40.7204,residential
2176,50858,0.04,1990,47,21,0,QN,-73.86328,40.73269,residential
2787,23980,0.12,1930,52,49,1,QN,-73.76503,40.70322,commercial
87,1103,0.08,1900,57,26,1,MN,-73.94858,40.8067,residential
2497,56374,0.04,1960,626,60,1,MN,-73.98516,40.75482,commercial
1549,6004,0.26,1930,82,68,0,MN,-73.97856,40.75805,residential
1175,13474,0.09,1990,145,107,0,MN,-73.96588,40.80419,residential
3828,46750,0.08,1960,300,46,0,MN,-73.9655,40.75794,commercial
4728,14459,0.33,1990,228,17,1,MN,-74.0155,40.71623,commercial
1205,19638,0.06,1930,82,66,0,MN,-73.96365,40.77465,residential
756,28493,0.03,1990,104,13,0,MN,-74.01728,40.70791,residential
234,558,0.42,1850,44,9,0,MN,-73.97727,40.72563,residential
153,949,0.16,1930,13,31,0,BK,-73.88271,40.67293,commercial
1240,12952,0.1,1990,484,11,0,MN,-74.00697,40.70742,residential
486,2466,0.2,1930,14,123,0,BK,-73.98343,40.66546,residential
287,23959,0.01,1900,95,16,0,QN,-73.9443,40.74924,residential
639,1182,0.54,1900,21,57,1,BK,-73.99617,40.6924,commercial
168,1217,0.14,1930,21,12,1,BK,-73.98857,40.68176,residential
1589,9351,0.17,1930,171,17,0,MN,-73.99994,40.71943,industrial
88,23364,0.0,1900,342,36,0,MN,-73.99408,40.7517,residential
554,6885,0.08,1930,132,56,0,MN,-73.96997,40.7677,residential
546,9996,0.05,1990,245,59,0,MN,-73.95171,40.77717,industrial
457,1751,0.26,1900,40,30,0,MN,-73.98739,40.71865,commercial
5852,115176,0.05,1990,82,27,0,BX,-73.92364,40.82216,residential
41338,65005,0.64,1930,142,12,1,BK,-73.97255,40.6984,commercial
737,16469,0.04,1930,184,33,0,MN,-73.96432,40.75526,commercial
12505,40902,0.31,1990,188,14,0,MN,-74.00926,40.73361,residential
586,1012,0.58,1900,48,95,0,MN,-73.96584,40.80812,industrial
890,2525,0.35,1850,72,109,0,MN,-73.95737,40.78377,residential
2523,46891,0.05,1960,296,10,0,MN,-73.93624,40.79179,commercial
4135,72811,0.06,1960,295,13,0,MN,-73.93756,40.7915,residential
1172,9129,0.13,1990,75,19,0,MN,-73.9373,40.80508,residential
2990,18106,0.17,1960,20,50,0,BK,-73.98809,40.66951,residential
1569,18475,0.08,1990,194,65,0,MN,-73.98768,40.76677,residential
329,35291,0.01,1960,511,75,0,MN,-73.97903,40.75083,commercial
3915,19383,0.2,1960,166,-1,0,MN,-73.99501,40.76155,residential
552,2489,0.22,1930,80,93,0,MN,-73.96048,40.77957,residential
2188,4977,0.44,1930,59,70,0,MN,-73.9658,40.77163,commercial
9075,280739,0.03,1990,79,13,1,QN,-73.84498,40.75786,residential
75,1057,0.07,1850,51,62,0,MN,-73.95988,40.77465,residential
5342,22411,0.24,1990,119,25,1,MN,-73.99681,40.74679,commercial
4774,11568,0.41,1930,51,168,1,BX,-73.88095,40.88708,public
1152,9723,0.12,1990,88,33,0,BK,-73.99013,40.68834,residential
2855,26346,0.11,1990,137,22,0,BK,-73.96811,40.71119,commercial
2199,8094,0.27,1930,65,7,1,BK,-73.97353,40.69837,public
14475,98911,0.15,1930,834,64,1,MN,-73.97996,40.75927,residential
228,5614,0.04,1850,111,29,0,MN,-73.999,40.72112,commercial
651,9462,0.07,1960,223,8,0,MN,-74.01277,40.70294,industrial
3447,10443,0.33,1930,74,33,1,BK,-73.95551,40.69492,commercial
258,2486,0.1,1990,75,54,0,MN,-73.96981,40.76712,industrial
946,7700,0.12,1930,83,29,0,BX,-73.90833,40.8277,commercial
109,847,0.13,1990,40,33,0,BK,-73.87412,40.67618,industrial
9836,56895,0.17,1930,708,61,1,MN,-73.97635,40.75611,residential
2784,4755,0.59,1900,40,15,0,BK,-73.95361,40.72654,industrial
3101,71264,0.04,1990,755,35,0,MN,-73.98978,40.75595,residential
418,941,0.44,1900,33,40,0,QN,-73.93347,40.75316,commercial
144,66989,0.0,1900,389,48,0,MN,-73.97564,40.75268,residential
2489,11307,0.22,1990,119,31,1,BX,-73.9155,40.82228,industrial
364,2050,0.18,1930,28,34,0,BK,-73.99574,40.67773,industrial
5086,48360,0.11,1990,252,36,1,MN,-73.99328,40.755,commercial
557,1855,0.3,1900,62,34,0,MN,-73.98932,40.72547,residential
1527,5385,0.28,1930,64,90,1,BK,-73.95637,40.67751,residential
1283,14728,0.09,1990,275,14,0,MN,-74.01571,40.71739,commercial
418,4491,0.09,1850,144,32,0,MN,-74.00728,40.7141,residential
520,13116,0.04,1990,166,2,0,MN,-74.0047,40.74748,industrial
258,1953,0.13,1900,85,10,0,MN,-74.00281,40.72067,residential
209,9890,0.02,1900,256,58,0,MN,-73.9704,40.74882,commercial
6223,31007,0.2,1990,214,42,1,MN,-73.98997,40.73003,commercial
578,16830,0.03,1990,184,106,0,MN,-73.96633,40.80382,industrial
587,15871,0.04,1900,277,27,0,MN,-74.00426,40.71409,residential
5016,21137,0.24,1960,258,18,0,MN,-73.97999,40.73808,commercial
1492,34106,0.04,1960,49,43,0,BX,-73.87304,40.84182,residential
999,18384,0.05,1990,74,75,0,MN,-73.95385,40.77832,commercial
4780,23929,0.2,1960,283,40,0,MN,-73.972,40.75283,commercial
136,1926,0.07,1900,60,84,0,MN,-73.9756,40.77917,industrial
187,1096,0.17,1800,35,63,1,BK,-73.99392,40.6998,commercial
97,1497,0.06,1900,54,66,0,MN,-73.96605,40.77269,commercial
434,7114,0.06,1930,29,18,0,MN,-73.94728,40.78878,residential
1810,11265,0.16,1990,107,70,1,MN,-73.95413,40.82404,residential
2089,11315,0.18,1990,80,18,1,MN,-73.93732,40.82763,residential
14489,28215,0.51,1960,77,31,1,MN,-73.99438,40.74646,residential
261,18965,0.01,1990,100,42,0,MN,-73.99104,40.72454,residential
14971,29327,0.51,1960,17,8,0,MN,-73.97574,40.72715,residential
731,19871,0.04,1900,138,56,0,BK,-73.98843,40.70045,commercial
864,18022,0.05,1990,152,22,0,BK,-73.98283,40.69726,residential
278,10642,0.03,1990,309,28,0,MN,-73.99464,40.73745,residential
3831,4231,0.91,1960,13,26,0,MN,-73.98404,40.71603,industrial
336,5553,0.06,1990,372,40,0,MN,-73.98419,40.74444,commercial
1375,11109,0.12,1990,56,30,0,BX,-73.84443,40.83901,commercial
164,3051,0.05,1990,71,84,0,BK,-73.98984,40.6655,residential
10351,70910,0.15,1960,35,14,1,QN,-73.95274,40.75167,commercial
789,3502,0.23,1990,44,41,0,BK,-73.94073,40.71351,residential
397,2215,0.18,1930,83,24,1,MN,-74.00934,40.71427,commercial
314,5116,0.06,1900,88,41,0,MN,-73.99296,40.72532,industrial
9907,27162,0.36,1990,393,10,1,MN,-74.017,40.70692,residential
351,833,0.42,1900,49,96,0,MN,-73.95347,40.78336,commercial
235,1311,0.18,1900,64,84,0,MN,-73.97721,40.77783,commercial
737,13346,0.06,1960,351,61,0,MN,-73.96441,40.76005,residential
121,1059,0.11,1850,28,85,0,BK,-73.97132,40.68707,residential
4857,35374,0.14,1990,86,8,0,BK,-73.96361,40.71915,residential
2007,14737,0.14,1930,31,29,0,BX,-73.92306,40.80524,commercial
1045,6661,0.16,1900,113,21,0,MN,-73.99965,40.72626,residential
891,3246,0.27,1990,61,110,0,MN,-73.94422,40.82769,residential
2834,5664,0.5,1900,74,131,0,MN,-73.95969,40.80815,industrial
269,8220,0.03,1900,75,15,0,BK,-73.95208,40.71345,industrial
8440,25180,0.34,1930,48,25,1,MN,-73.99912,40.73546,residential
473,1214,0.39,1900,59,12,0,MN,-74.00809,40.73632,residential
3267,31166,0.1,1960,247,38,0,MN,-73.9705,40.75688,industrial
6039,54940,0.11,1930,511,71,0,MN,-73.97733,40.75899,residential
1019,5038,0.2,1900,53,8,0,MN,-74.00575,40.74724,commercial
931,32605,0.03,1990,253,40,0,MN,-73.99698,40.75679,commercial
3724,28576,0.13,1990,56,15,0,MN,-73.93957,40.79987,commercial
157,6634,0.02,1990,240,16,0,MN,-73.99718,40.76103,industrial
55140,126149,0.44,1990,74,9,1,MN,-73.93698,40.82205,commercial
308,1245,0.25,1930,42,33,0,MN,-73.94342,40.79965,residential
3146,20328,0.15,1990,74,16,0,MN,-74.0028,40.74507,commercial
391,7973,0.05,1960,142,6,0,MN,-74.00355,40.72286,commercial
581,20073,0.03,1930,227,8,0,MN,-74.00611,40.70648,residential
2530,35464,0.07,1960,366,58,0,MN,-73.9885,40.76289,residential
1057,14019,0.08,1930,69,9,0,BK,-73.97758,40.69862,industrial
7120,16666,0.43,1900,127,41,0,MN,-73.98952,40.73855,commercial
2507,57712,0.04,1960,176,14,0,MN,-74.01387,40.7179,commercial
280,7981,0.04,1960,185,32,0,MN,-73.97831,40.74053,industrial
1339,35729,0.04,1960,133,32,0,QN,-73.93289,40.77479,industrial
571,51490,0.01,1900,215,40,0,MN,-73.98999,40.74224,residential
22102,41835,0.53,1960,137,167,0,BX,-73.90921,40.89512,commercial
4266,92654,0.05,1990,38,30,1,MN,-73.99233,40.76789,residential
718,24223,0.03,1930,20,54,1,QN,-73.91566,40.74985,commercial
1019,16035,0.06,1930,37,18,1,QN,-73.86563,40.7317,residential
8823,58958,0.15,1930,191,62,0,BX,-73.92408,40.82633,commercial
1084,2049,0.53,1900,62,76,1,MN,-73.97685,40.7865,industrial
848,6349,0.13,1900,104,10,0,MN,-74.00254,40.72096,residential
719,925,0.78,1990,33,61,0,BX,-73.89362,40.85424,residential
658,11729,0.06,1990,104,25,0,MN,-74.0074,40.71486,residential
1171,27267,0.04,1990,355,13,0,MN,-74.00325,40.7528,industrial
615,12971,0.05,1850,173,10,0,MN,-74.00561,40.72136,residential
266,1253,0.21,1930,42,9,0,MN,-73.93792,40.80187,commercial
5082,71774,0.07,1960,162,14,0,MN,-74.01522,40.71501,commercial
15112,90706,0.17,1960,483,66,0,MN,-73.97989,40.7624,commercial
141,8679,0.02,1900,146,87,0,MN,-73.95416,40.78075,residential
163,4088,0.04,1900,75,14,0,MN,-74.00832,40.71709,residential
6858,23710,0.29,1990,382,25,1,MN,-73.99188,40.77077,commercial
9757,43174,0.23,1990,591,72,0,MN,-73.9837,40.76496,commercial
4288,27431,0.16,1990,446,10,1,MN,-74.01769,40.70575,commercial
1317,10579,0.12,1990,132,35,0,BX,-73.92757,40.82158,commercial
367,10586,0.03,1990,258,30,0,MN,-73.97334,40.7476,commercial
1418,5952,0.24,1930,45,12,0,MN,-74.00792,40.73797,residential
1074,14609,0.07,1960,57,15,0,MN,-74.00896,40.72176,residential
4492,7158,0.63,1990,67,61,0,BX,-73.88953,40.83378,commercial
115,647,0.18,1900,49,63,0,BK,-73.97189,40.69209,commercial
470,862,0.55,1900,35,11,0,BK,-73.9508,40.71737,commercial
380,58449,0.01,1850,150,44,0,MN,-73.99224,40.7238,residential
216,23809,0.01,1930,17,14,0,BK,-73.95628,40.7369,residential
530,2283,0.23,1900,92,18,0,MN,-73.98384,40.72605,industrial
26045,56132,0.46,1930,27,114,0,MN,-73.95048,40.81585,residential
167,1254,0.13,1900,55,107,0,MN,-73.95591,40.78367,industrial
6935,12477,0.56,1960,8,12,1,BX,-73.84048,40.83903,residential
1323,16336,0.08,1960,50,16,0,MN,-74.01114,40.71795,residential
997,17263,0.06,1900,76,18,0,BK,-73.95552,40.7134,residential
873,22751,0.04,1990,213,16,0,MN,-73.94888,40.79634,industrial
308,1464,0.21,1850,52,68,0,BK,-73.99702,40.69493,commercial
327,2558,0.13,1930,38,10,0,BK,-73.95089,40.71737,industrial
2678,14438,0.19,1990,78,16,1,BX,-73.91593,40.81464,commercial
1846,11634,0.16,1990,63,46,1,BX,-73.91117,40.84749,residential
2276,9559,0.24,1990,67,39,1,BX,-73.89943,40.81476,industrial
12332,36217,0.34,1960,142,27,0,MN,-73.97466,40.7429,commercial
722,178941,0.0,1960,76,48,0,QN,-73.79531,40.70178,residential
10755,94358,0.11,1990,145,41,0,BK,-73.98302,40.69134,residential
2400,59259,0.04,1960,376,11,0,MN,-74.01085,40.71967,residential
1797,28514,0.06,1990,34,9,0,MN,-74.00901,40.73974,residential
2649,30002,0.09,1960,53,12,0,MN,-74.0112,40.71817,commercial
2155,10766,0.2,1850,40,65,0,QN,-73.81652,40.70537,commercial
339,4632,0.07,1900,164,65,0,MN,-73.97881,40.75744,industrial
2711,35424,0.08,1960,97,32,1,MN,-73.99394,40.74683,commercial
4803,43540,0.11,1990,217,35,0,MN,-73.99255,40.74227,commercial
193,2182,0.09,1990,80,19,0,MN,-73.93857,40.80761,commercial
1134,2379,0.48,1930,34,20,1,BK,-73.98325,40.67933,commercial
15220,133265,0.11,1960,48,20,1,BX,-73.85659,40.82161,commercial
729,5876,0.12,1990,99,132,0,BX,-73.89933,40.86012,residential
6789,17962,0.38,1990,25,15,0,BK,-73.95696,40.72246,industrial
8906,20294,0.44,1990,75,44,0,BX,-73.89253,40.831,residential
1849,4429,0.42,1930,52,12,0,BX,-73.87832,40.84034,residential
1821,6946,0.26,1990,21,52,0,MN,-73.95834,40.77328,industrial
176,4452,0.04,1930,95,65,0,MN,-73.96493,40.77424,residential
1040,35560,0.03,1990,343,38,0,MN,-73.9922,40.76504,residential
2939,53465,0.05,1990,449,38,0,MN,-73.99826,40.75691,commercial
157,2111,0.07,1900,46,44,1,MN,-73.97674,40.74879,residential
989,12299,0.08,1990,13,59,0,BK,-73.93695,40.67938,residential
264,1274,0.21,1850,39,25,0,MN,-73.9968,40.73457,commercial
84,1266,0.07,1850,46,51,0,BK,-73.97612,40.68054,residential
12428,52671,0.24,1990,272,12,0,MN,-74.00629,40.74339,residential
1889,3267,0.58,1930,71,117,0,MN,-73.96401,40.80448,residential
522,3850,0.14,1930,61,45,0,BK,-73.99214,40.68873,residential
1928,48925,0.04,1990,91,10,0,MN,-73.9433,40.7864,commercial
15313,47429,0.32,1930,544,18,1,MN,-74.00232,40.71371,residential
1072,99099,0.01,1960,64,70,0,MN,-73.9864,40.77521,residential
829,5577,0.15,1930,31,28,1,QN,-73.75132,40.60251,residential
12897,27075,0.48,1930,68,93,0,BK,-73.96911,40.68689,commercial
8592,17045,0.5,1930,23,151,1,BK,-73.96297,40.6694,residential
466,163243,0.0,1930,259,19,0,MN,-74.00317,40.74108,residential
1525,6414,0.24,1800,104,6,0,MN,-74.00968,40.72554,residential
343,2941,0.12,1990,118,42,1,MN,-73.99311,40.726,public
309,4350,0.07,1990,175,18,1,MN,-74.01044,40.71474,industrial
8139,20051,0.41,1960,23,12,0,MN,-73.93708,40.79703,commercial
357,2164,0.17,1900,84,10,0,MN,-74.00959,40.72423,industrial
